Sinhala,English
"11:29 ට පමණ උද්ඝෝෂණය වයිට්හෝල් වෙතින් ඉදිරියට ඇදී ගිය අතර, ට්‍රෆල්ගාර් චතුරශ්‍රය පසුකරමින්, ස්ට්‍රෑන්ඩ් ඔස්සේ ඇල්ඩ්විච් පසුකරමින්, කින්ග්ස්වේ ඔස්සේ, කන්සර්වේටිව් පක්ෂය ඔවුන්ගේ වසන්ත සංසදය පවත්වමින් සිටි ග්‍රෑන්ඩ් කොනෝට් රූම්ස් හෝටලය පිහිටි හොල්බෝර්න් වෙත ගමන් කරන්නට විය.
","Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.
"
"කැනේඩියානුවන්ට එරෙහිව නඩල්ගේ කරට කර වාර්තාව 7-2 කි.
","Nadal's head to head record against the Canadian is 7–2.
"
"ඔහු නැවතත් මෑතක දී බ්‍රිස්බේන් විවෘත තරඟාවලියේ දී රැයොනික් හට පරාජය විය.
","He recently lost against Raonic in the Brisbane Open.
"
"පළමු පිරිනැමීමේ දී ලකුණු 76ක් ලබා ගනිමින් නඩාල් තරඟයේ 88%ක ශුද්ධ ලකුණු ලබා ගත්තේ ය.
","Nadal bagged 88% net points in the match winning 76 points in the first serve.
"
"තරඟයෙන් පසුව ක්ලේ හි රජු මෙසේ ප්‍රකාශ කළේය, ""ඉතාම වැදගත් ඉසව්වවල අවසන් වටය්ට නැවත පැමිණීම පිළිබඳව මා ඉතාම සතුටට පත් වෙනවා. මා පැමිණ ඇත්තේ මෙය ජයග්‍රහණය කිරීමට උත්සාහ කිරීමටයි.""
","After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""
"
"""පැනමා පත්‍රිකා"" යනු 2016 වසන්තයේදී පැනමා නීති සමාගමක් වන මොසැක් ෆොන්සේකා වෙතින් මාධ්‍යට අනාවරණය වූ දළ වශයෙන් මිලියන දහයක් පමණ වූ ලේඛන සමූහයට යොදනු ලබන පොදු වචනයකි.
","""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.
"
"මෙම ලේඛන මගින්, බදු සහ වෙනත් රෙගුලාසි මගහැරීමට ධනවත් සේවාදායකයන්ට අමෙරිකානු ඩොලර් බිලියන ගණනක් සැඟවීමට උපකාර කළ බැංකු දහහතරක් පිළිබඳව හෙළිදරව් විය.
","The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.
"
"බ්‍රිතාන්‍ය පුවත්පතක් වන ද ගාර්ඩියන් පවසා සිටියේ මෙම අරමුණ සාක්ෂාත් කරගැනීම සඳහා භාවිතා වූ ෂෙල් සමාගම් 1200 න් තුනෙන් දෙකක් පමණ පාලනය කළේ ඩොයිෂ් බැංකුව බවයි.
","British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.
"
"ලොව පුරා උද්ඝෝෂණ, අපරාධ චෝදනා පැවති අතර අයිස්ලන්තය සහ පකිස්ථානය යන දෙරටේම රාජ්‍ය නායකයෝ ඉල්ලා අස් වූහ.
","There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.
"
"හොං කොං හි ඉපදුණු මා, නිව්යෝක් විශ්වවිද්‍යාලයේ සහ හාවඩ් නීති විද්‍යාලයේ අධ්‍යාපනය ලැබූ අතර වරක් ඇමෙරිකානු ස්ථිර පදිංචිය ලබාදෙන ""ග්‍රීන් කාඩ්පත"" ද දැරුවේය.
","Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".
"
"අර්බුද සහගත අවස්ථාවකදී මා රටෙන් පැන යනු ඇති බව,   මැතිවරණය අතරතුර දී, ෂේ ඇඟවුයේය.
","Hsieh implied during the election that Ma might flee the country during a time of crisis.
"
"ඡයාකාන්ත අයෙකු වන මා, ලස්සන වුවත් ඇතුලාන්තයේ සාරය නොනිබෙන බව, ශේ තර්ක කළේය.
","Hsieh also argued that the photogenic Ma was more style than substance.
"
"මෙම චෝදනාවන් පැවතිය ද, චීන ප්‍රධාන භූමිය සමග සමීප සම්බන්ධතාවන් පවත්වාගැනීම පිළිබඳව එකඟ වූ වේදිකාවකදී මා ජයග්‍රහණය කළේය.
","Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.
"
"අද, දවසේ ක්‍රීඩකයා වොෂින්ටන් කැපිටල්ස්හි ඇලෙක්ස් ඔවෙච්කින් වෙයි.
","Today's Player of the Day is Alex Ovechkin of the Washington Capitals.
"
"ඇට්ලන්ටා ත්‍රෑෂර්ස් පරදවා වොෂිංටනය ලත් 5-3 ජයග්‍රහණයේදී ඔහු ගෝල් 2 ක් දිනාගත් අතරම ගෝල් සඳහා 2 වරක්ම සහය දැක්වූවේය
","He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.
"
"තරඟය ජයග්‍රහණය කිරීම සඳහා ආධුනික ක්‍රීඩක නිකලස්  බැක්ස්ට්‍රෝම් එල්ල කළ ගෝලයට දැක්වූ සහය, එදින රාත්‍රියේදී ඔවෙච්කින්ගේ ප්‍රථම සහය  වූයේය.
","Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;
"
"රාත්‍රියේ දී ඔහු ලබාගත් දෙවන ගෝලය වූයේ, 1995-96 කාලය තුළ ගෝල 60 ක් හෝ වැඩි ගණනක් ලබාගත් පළමුවැන්නා ලෙස, ජැරෝමීර් ජගර් සහ මාරියෝ ලෙමීක්ස් ද එම සන්ධිස්ථානයට පිවිසෙන විට, ඔහු ලබාගත් 60 වැනි ගෝලයයි.
","his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.
"
"ඇමෙරිකානු ඩොලර් බිලියන 2.3 ක ඇස්තමේන්තුගත වස්තුවක් සහිතව, 2008 දී ධනවත්ම ඇමරිකානුවන් 400 දෙනා අතර බැටන් 190 වෙනි ස්ථානය ලබා ගත්තේ ය.
","Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.
"
"1950 දී ඔහු වර්ජීනියා විශ්ව විද්‍යාලයේ කලා හා විද්‍යා විද්‍යාලයෙන් උපාධිය ලබාගත් අතර එම ආයතනයේ සැලකිය යුතු ප්‍රදායකයෙකු බවට පත් වූවේ ය.
","He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.
"
"කැරැල්ලක් අතරතුර දී ඉරාකයේ අබු ඝරයිබ් බන්ධනාගාරයට ගිනි තබා තිබිණි.
","Iraq's Abu Ghraib prison has been set alight during a riot.
"
"එක්සත් ජනපද හමුදාවන් යටතට පත් වූ පසුව සිරකරුවන් අපයෝජනය කළ බවට අනාවරණය වීමෙන් පසුව මෙම සිරගෙය අපකීර්තියට පත් විය.
","The jail became notorious after prisoner abuse was discovered there after US forces took over.
"
"ආරක්ෂක මෝටර් රථය ගෙන එමින්, ෆර්නැන්ඩෝ අලොන්සෝ කළින්ම සේවා නැවතුමකට යොමු වීමෙන් පසු, පිකට් ජූනියර් 2008 සිංගප්පූරු ග්‍රෑන්ඩ් ප්‍රී තරඟයේදී අනතුරට ලක් විය.
","Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.
"
"ඇලොන්සෝට ඉදිරියෙන් ඇති මෝටර් රථ ආරක්ෂිත මෝටර් රථය පසුපස ඉන්ධන ලබාගැනීමට ගිය විට, ඔහු අන් තරඟකරුවන් පසු කොට ජයග්‍රහණය ලැබුවේය.
","As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.
"
"පීකේ ජූනියර් 2009 හංගේරියානු ග්‍රොන් ප්‍රී තරඟයෙන් පසු ඉවත් කරන ලදි
","Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.
"
"හරියටම උදේ 8:46 ට පළමු ජෙට් යානය එහි ඉලක්කයට ප්‍රහාර කළ හරිම අවස්ථාව ලකුණු කරමින් නගරය පුරා නිශ්ශබ්දතාවක් ඇති විය.
","At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.
"
"ආලෝක කදම්බ දෙකක් රාත්‍රී කාලයේ ඉහළ අහසට එල්ල වන ලෙස සකසා ඇත.
","Two beams of light have been rigged up to point skywards overnight.
"
"මෙහි නව උස් ගොඩනැඟිලි පහක්, ප්‍රවාහන මධ්‍යස්ථානයක් සහ මධ්‍යයේ ස්මරණ උද්‍යානයක් සඳහා වන ඉදිකිරීම් කටයුතු සිදු කෙරෙමින් පවතී.
","Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.
"
"PBS වැඩසටහනට එමී සම්මාන දුසිම් 2කට වඩා ඇති අතර, එහි විකාශන කාලය දෙවැනි වන්නේ සිසේම් වීදිය, සහ මිස්ටර් රොජර්ස් ගේ අසල්වැසියන් හට පමණි.
","The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.
"
"වැඩසටහනේ සෑම කොටසක්ම යම් නිශ්චිත ග්‍රන්ථයක තේමාවක් කෙරෙහි යොමු වන අතර ඉන්පසු කතන්දර ගණනාවක් ඔස්සේ එම තේමාව ගවේෂණය කරනු ලබයි.
","Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.
"
"සෑම වැඩසටහනක්ම, දරුවන් ඔවුන්ගේ පුස්තකාලයට ගිය විට ඔවුන් සෙවිය යුතු පොත් පිළිබඳව නිර්දේශ ලබා දෙයි.
","Each show would also provide recommendations for books that children should look for when they went to their library.
"
"WNED බෆලෝ (රීඩින් රේන්බෝ හි මූලස්ථානය) හි ජෝන් ග්‍රාන්ට් මෙසේ ප්‍රකාශ කළේ ය ""රීඩින් රේන්බෝ දරුවන්ට කියවිය යුත්තේ ඇයි ද යන්න ඉගැන්වී ය,...කියවීමේ ආශාව ඇති කළේ ය -[වැඩසටහන] දරුවන්ට පොතක් රැගෙන කියවීමට උනන්දු කළේ ය.""
","John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""
"
"ජෝන් ග්‍රාන්ට් ඇතුළු සමහරුන් විශ්වාස කරන්නේ අරමුදල් සම්පාදනයේ ගැටළු සහ අධ්‍යාපන රූපවාහිනී වැඩසටහන්කරණයේ දර්ශනය වෙනස් වීම යන දෙකම, වැඩසටහන් මාලාව අවසන් කිරීමට දායක වූ බවයි.
","It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.
"
"කේප් වර්ඩේ දූපත්වලින් සැතපුම් 645 (කිමී 1040) ක් පමණ බටහිරට වන්නට ඇති කුණාටුව, භූමිය වෙත තර්ජනයක් ඇති කිරීමට පෙර පහව යන බව කාලගුණ අනාවැකිකරුවන් ප්‍රකාශ කරති.
","The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.
"
"ෆ්රෙඩ් මේ වන විට පැයකට සැතපුම් 105 ක (පැයට කි.මි 165) වේගයෙන් හමන සුලං සහිතව වයඹ දෙසට ගමන් කරමින් සිටියි.
","Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.
"
"චන්ද්‍රිකා රූප සොයා ගැනීමේ සිට දකුණු සහ නැගෙනහිර අත්ලාන්තික් කලාපයේ මෙතෙක් වාර්තා වූ ප්‍රබලතම නිවර්තන සුළි සුළඟ වන ෆ්රෙඩ්, 35 W හි නැඟෙනහිර වාර්තා වූ තෙවන ප්‍රධානතම චණ්ඩ මාරුතය වෙයි
","Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.
"
"1759 සැප්තැම්බර් 24 වෙනිදා, ආතර් ගිනස් අයර්ලන්තයේ ඩබ්ලින්හි ශාන්ත ජේම්ස් ගේට් ඉස්කාගාරය වසර 9,000 ට බද්දට ගැනීමට අත්සන් කළේ ය.
","On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.
"
"වසර 250 කට පසු ගිනස් සෑම වසරකම යූරෝ බිලියන 10 (ඇ.ඩො. බිලියන 14.7) ක ආදායමක් සහිත ගෝලීය ව්‍යාපාරයක් බවට වර්ධනය විය.
","250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.
"
"A1 GP නවසීලන්ත කණ්ඩායමේ සම රියැදුරු වූ ජොනී රීඩ්, නවසීලන්තයේ වසර 48 ක් පැරණි, ඕක්ලන්ඩ් හාර්බර් පාලම හරහා නීත්‍යානුකූලව වැඩිම වේගයෙන් රිය පදවමින් ඓතිහාසික කඩ ඉමක් සලකුණු කළේය.
","Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.
"
"රීඩ් මහතා, නවසීලන්තයේ A1 GP මෝටර් රථය වන බ්ලැක් බියුටි, පැයට කි.මී 160 කට වැඩි වේගයෙන් සත් වතාවක් පාලම හරහා ගෙන යාමට සමත් විය.
","Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.
"
"බ්ලැක් බියුටි කෙතරම් පහළින් ගමන් කළේ ද යත් නවසීලන්ත පොලීසියට රීඩ් මහතාගේ වේගය මැනීම සඳහා තම වේග රේඩාර් මෙවලම් භාවිත කිරීමට නොහැකි වූ අතර රීඩ් මහතා හසු කර ගැනීමට හැකි වූ එකම වේලාව වූයේ ඔහු පැයකට කි.මී 160 දක්වා වේගය අඩු කළ විට පමණයි.
","The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.
"
"පසුගිය මාස 3 තුළ, විධිමත් ලෙස චෝදනා කරනු නොලැබ, අත්අඩංගුවට පත් වූවන් 80 කට වැඩි ගණනක් සෙන්ට්‍රල් බුකිං වෙතින් නිදහස් කරන ලදී.
","In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.
"
"මේ වසරේ අප්‍රේල් මාසයේ දී, ඔවුන් ඇතුළු කර ගත් පසු අධිකරණ කොමසාරිස්වරයෙකු විසින් විභාග කිරීමක් නොලැබ පැය 24 ට අධික කාලයක් රඳවා ඇති අය මුදා හැරීම ක්‍රියාත්මක කිරීමට පහසුකම් සැලසීමට විරුද්ධව විනිසුරු ග්ලින් විසින් තාවකාලික රැඳවුම් නියෝගයක් නිකුත් කරනු ලැබුවේ ය.
","In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.
"
"අනුමත කරනු ලැබුවහොත්, කොමසාරිස්වරයා විසින් ඇප පනවනු ලබන අතර අත් අඩංගුවට ගැනීමට කටයුතු කළ නිලධාරියා විසින් කළ චෝදනා විධිමත් කරනු ඇත. ඉන්පසු චෝදනා රාජ්‍ය පරිගණක පද්ධතියට ඇතුළත් කරනු ලබන අතර එහිදී සිදුවීම හඹා යනු ලැබේ.
","The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.
"
"නඩු විභාගය සැකකරුට ඉක්මන් නඩු විභාගයක් සඳහා ඇති අයිතියද සලකුණු කරයි.
","The hearing also marks the date for the suspect’s right to a speedy trial.
"
"ඕස්ට්‍රේලියානු භාණ්ඩාගාරික සහ ලිබරල් පක්ෂ නායකයා ලෙස, බොහෝ විට අගමැති ජෝන් හොවාර්ඩ්ගේ අනුප්‍රාප්තිකයා වීමට ඉඩ ඇති පුද්ගලයා වන පීටර් කොස්ටෙලෝ ඕස්ට්‍රේලියාවේ න්‍යෂ්ටික බලශක්ති කර්මාන්තයකට පිටුපස සිට සිය සහය ලබා දී ඇත.
","Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.
"
"ආර්ථිකමය වශයෙන් න්‍යෂ්ටික බලශක්ති උත්පාදනයේ හැකියාවක් ඇති වූ විට ඔස්ට්‍රේලියාව එය දිගට ම භාවිතා කළ යුතු බව කොස්ටෙලෝ මහතා පැවසීය.
","Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.
"
"""එය වාණිජ්‍ය වන්නේ නම්, අපි එය ලබා ගත යුතුයි. එනම් න්‍යෂ්ටික බලශක්තිය සම්බන්ධව මූලධාර්මික විරෝධතාවක් නැත"" කොස්ටෙලෝ මහතා පැවසුවේය.
","""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.
"
"අන්සා පවසන පරිදි, “ඉහළ මට්ටමේ පහරවල් කිහිපයක් නිසා පොලිසිය සැලකිලිමත් වී ඇති අතර, ඔවුන් අනුප්‍රාප්තික යුද්ධයක් ඇරඹෙනු ඇතැයි ඔවුහු බිය වී තිබේ.
","According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.
"
"පොලිසිය පැවසූ පරිදි පැලර්මෝහිදී ප්‍රොවෙන්සානෝගේ දකුණු අත මෙන් සිටි බැවින් ලො පිකොලො මෙහි ප්‍රධානත්වය ගන්නා අතර ඔහුගේ විශාල අත්දැකීම් ප්‍රමාණය, තම බල ජාලය ශක්තිමත් කරගන්නා අතර ප්‍රොවෙන්සානෝගේ ප්‍රතිපත්තිය හැකි තරම් සඟවා ගැනීමට කටයුතු කරමින් සිටින වැඩිමහල් පරම්පරාවේ ගෞරවය ඔහු වෙත ලැබීමට හේතු විය.
","Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.
"
"1992 දී මාෆියා කුරුස යුද්ධ භටයන් වන ජියෝවානි ෆැල්කෝන් සහ පාවුලෝ බෝර්සෙලිනෝගේ ජීවිත බිලිගත් රජයට එරෙහි රයිනා විසින් මෙහෙයවන ලද යුද්ධය අවසන් කරන විට ප්‍රොවෙන්සානෝ විසින් මෙම ප්‍රධානීන් නැවත සේවයේ යොදවා තිබුණි.
","These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""
"
"ඇපල් ප්‍රධාන විධායක නිලධාරී ස්ටීව් ජොබ්ස් මෙම උපකරණය එළිදැක්වූයේ වේදිකාවට නැගී අයිෆෝනය සිය ජීන්ස් සාක්කුවෙන් ඉවතට ගැනීමෙනි.
","Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket.
"
"පැය 2ක කතාවේ දී ඔහු කියා සිටියේ ""අද ඇපල් විසින් දුරකථනය නැවත සොයාගැනීමටයි සූදානම් වන්නේ, අපි අද ඉතිහාසක් නිර්මාණය කිරීමටයි යන්නේ"" යනුවෙනි.
","During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".
"
"පෘථිවියේ විශාලතම රෝමානු කතෝලික රට බ්‍රසීලය වන අතර, රෝමානු කතෝලික සභාව එම රට තුළ සම ලිංගික විවාහ කිරීම සඳහා දිගටම විරුද්ධ වී ඇත.
","Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.
"
"බ්‍රසීලයේ ජාතික කොංග්‍රසය නීතිගත කිරීම වසර 10ක් පුරා විවාදයට ලක් කළ අතර, එවැනි සිවිල් විවාහ වර්තමානයේ නෛතික වන්නේ රියෝ ග්‍රෑන්ඩ් ඩෝ සල්හි පමණි.
","The National Congress of Brazil has debated legalization for 10 years, and such civil marriages are currently only legal in Rio Grande do Sul.
"
"මුල් කෙටුම්පත සාවෝ පාවුලෝහි හිටපු පුරපති මාර්තා සුප්ලිචි විසින් කෙටුම්පත් කරන ලදි. යෝජිත නීති සම්පාදනය, සංශෝධනයෙන් පසු, දැන් රොබෙර්ටෝ ජෙෆර්සන් සතුව පවතී.
","The original bill was drafted by former mayor of São Paulo, Marta Suplicy. The proposed legislation, after being amended, is now in the hands of Roberto Jefferson.
"
"විරෝධය පළ කරන්නන් නොවැම්බර් මාසයේ දී ජාතික කොංග්‍රසයට ඉදිරිපත් කිරීමට අත්සන් මිලියන 1.2 ක් රැස් කිරීමට බලාපොරොත්තු වෙති.
","Protesters hope to collect a petition of 1.2 million signatures to present to the National Congress in November.
"
"බොහෝ පවුල් විසින් නෙරපා හැරීමට එරෙහිව සටන් කිරීමට නීති ආධාර ලබාගන්නා බව පැහැදිලි වීමෙන් පසුව, මාර්තු 20 වන දින ඊස්ට් බේ ප්‍රජා නීති මධ්‍යස්ථානයේ දී නිවාස වංචාවට ලක් වූ අය සඳහා රැස්වීමක් පවත්වන ලදී.
","After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.
"
"කුලීකරුවන් ඔවුන්ට සිදු වූ දෙය පිළිබඳව තොරතුරු බෙදාගැනීම ආරම්භ කළ විට, සම්බන්ධ වූ බොහෝ පවුල්වලට හදිසියේම පසක් වූයේ OHAහි කැරොලින් විල්සන් තමන්ගේ ආරක්ෂිත තැන්පතු සොරාගෙන, නගරයෙන් පැන ගොස් ඇති බව ය.
","When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.
"
"ලොක්වූඩ් ගාඩ්න්ස්හි කුලීකරුවන් විශ්වාස කරන්නේ නිවාස වංචාවෙහි යෙදී  හසු වූ තවත් ඕක්ලන්ඩ්හි පොදු නිවාස දේපළ සම්බන්ධයෙන් විමර්ශන කිරීමට OHA පොලීසිය කටයුතු කරන බවට ඔවුන් දැනුවත් වූ බැවින් තවත් පවුල් 40ක් හෝ වැඩි ප්‍රමාණයක් නෙරපා හැරීමට ලක් වන බවයි.
","Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.
"
"පුද්ගලයන් 9,000ක් සහභාගී වීමට නියමිත වූ, මාවූ හි යුධ අනුස්මරණ ක්‍රීඩාංගනයෙහි වැඩසටහන සංගීත කණ්ඩායම විසින් අවලංගු කරන ලදුව,  ඒ සම්බන්ධයෙන් රසිකයන්ගෙන් සමාව ඉල්ලුවේ ය.
","The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.
"
"සංගීත කණ්ඩායමේ කළමනාකරණ සමාගම වන එච්.කේ. මැනේජ්මන්ට් ඉන්කෝපරේෂන් සැප්තැම්බර් 20 වන දින අවලංගු කරන විට කිසිදු මූලික හේතුවක් නොදැක්වූ නමුත් ඊළඟ දිනය වන විට ප්‍රවර්ධන හේතු වලට දොස් පැවරී ය.
","The band's management company, HK Management Inc., gave no initial reason when they canceled on September 20, but blamed logistical reasons by the next day.
"
"අල්ලස් හා දූෂණයට වරදකරුවන් බවට සොයා ගැනීමෙන් අනතුරුව සකිස් කෙචගියොග්ලූ සහ ජෝර්ජ් නිකොලකොපොලස් යන ප්‍රසිද්ධ නීතීඥයන් දෙපල ඒතන්ස්හි කොරිඩලස් බන්ධනාගාරයේ සිරගත කරනු ලැබූහ.
","The famous Greek lawyers, Sakis Kechagioglou and George Nikolakopoulos have been imprisoned in the Athens' jail of Korydallus, as they were found guilty of graft and corruption.
"
"මෙහි ප්‍රතිඵලයක් වශයෙන් විනිසුරුවරුන්, නීතීඥයින්, සොලිසිටර්වරු සහ නොතාරිස්වරුන් විසින් පසුගිය වර්ෂවල සිදු කරන ලද නීති විරෝධී ක්‍රියා අනාවරණ කිරිම හරහා ග්‍රීක නීති ප්‍රජාව අතර දැඩි අපකීර්තියක් ගොඩනැගී ඇත.
","As a result of this, a big scandal within the Greek legal community has been raised through the exposure of illegal actions that judges, lawyers, solicitors and attorneys have done during the previous years.
"
