high_res,low_res
penetrate,penetrar
counter-,contra-
compost,compost
watchful,atento
lubricous,lúbrico
psychologically,psicológicamente
shy,tímido
original,original
perfidious,pérfido
replace,reemplazar
adherent,adhesivo
behead,descabezar
author,escribir
Roxana,Roxana
dark,oscuro
parse,procesar
mercantile,mercantil
acoustic,acústico
mean,media
inward,interior
exposé,exposición
sigh,suspirar
break,quebrar
tenebrous,tenebroso
German,alemán
alkaline,alcalino
overlook,otear
receipt,receta
planetary,planetario
confidently,confidentemente
Flora,Flora
Anselm,Anselmo
saturate,empapar
longitudinally,longitudinalmente
highly,altamente
Belizean,beliceño
arrest,paro
set,ponerse
namely,específicamente
maw,estómago
upper,superior
carmine,carmín
motionless,inmóvil
Bari,Bari
counterrevolutionary,antirrevolucionario
fictitious,ficticio
Ethiopian,etíope
tantamount,equivalente
advise,notificar
Catholicize,catolizar
Vincent,Vicente
float,flotar
Kim,Kim
Portuguese,portugués
vigilantly,vigilantemente
chord,acorde
live,vivir
double,doblar
incorporeal,incorpóreo
glide,planear
Smith,Herrera
clump,amontonar
recede,alejarse
treat,tratar
googolplex,googolplex
serve,servir
African,africano
match,igual
scissoring,tribadismo
fa,fa
medicinal,medicinal
differently,diferentemente
underhand,solapado
Indus,Indus
peaceful,pacífico
Semitic,semítico
avenue,avenida
castigate,castigar
abrasive,abrasivo
sarcastic,sarcástico
European,europeo
Kyrgyzstan,Kirguizistán
habitual,habitual
baptize,bautizar
rejoice,alegrarse
tidal,mareal
accept,aceptar
ferromagnetic,ferromagnético
certificate,certificado
oil,aceitar
Kuybyshev,Kúibyshev
Oedipal,edípico
exact,exacto
preserve,preservar
make,hacer
spit,escupir
oratory,oratorio
automation,automatización
fail,pararse
as,tan
radiant,radiante
flyer,volante
weaken,debilitar
melodramatic,melodramático
slap,abofetear
psycho-,psico-
age,mayoría
subscribe,subscribirse
articulate,claro
chastise,castigar
abnegate,abnegar
fire,cocer
follower,imitador
redoubt,reducto
corral,acorralar
no,no
Belgrade,Belgrado
televisual,televisual
corresponding,correspondiente
dribble,gotear
denotation,denotación
prosopopesis,prosopopesis
archivist,archivero
Aristarch,aristarco
shrivel,derrumbarse
insalubrious,insalubre
avid,ávido
certification,certificación
board,abordar
untoward,impropio
incredulous,incrédulo
flee,huir
evacuate,evacuar
libidinous,libidinoso
this,esto
certify,certificar
Atlantic,atlántico
install,instalar
lion,león
communist,comunista
racial,racial
selective,selectivo
automagically,automágicamente
reliable,fiable
more,más
slit,raja
garlicky,aliáceo
motorjet,termorreactor
minutely,minuciosamente
malignant,maligno
endemic,endémico
paralysis,parálisis
supercalifragilisticexpialidocious,supercalifragilisticoexpialidoso
last,durar
Asher,Aser
tepid,tibio
senior,señor
Fabian,Fabián
Thucydides,Tucídides
tow,remolcar
sublime,sublime
contain,contener
powder,espolvorear
Robin,Robin
Pliny,Plinio
iff,sii
geographically,geográficamente
lackadaisical,lánguido
general,general
butt,topetar
cleanly,limpiamente
smoke,fumar
scamper,corretear
consonant,consonante
judge,opinar
Tagus,Tajo
cognizant,consciente
flip,flipado
apolitically,apoliticamente
instill,inculcar
whip,atosigar
compulsive,compulsivo
silly,niñito
supernal,celestial
naturally,naturalmente
glassy,vidrioso
trace,trazar
treble,triple
gargle,gargarizar
bossy,mandón
reflective,reflexivo
instrumental,instrumental
egregious,flagrante
anime,anime
panchromatic,pancromático
split,partir
familiarize,familiarizar
bellboy,botones
upstairs,arriba
cut,atravesar
divisor,divisor
oxyhydrogen,oxhídrico
Xenophon,Jenofonte
lose,perder
chloro-,cloro-
Wolof,wolof
engraving,grabado
impel,impeler
Hellenic,helénico
hyperbolic,hiperbólico
burp,eructar
intensively,intensivamente
aeolian,eólico
sole,solo
even,par
difficultly,difícilmente
dental,dental
considerably,considerablemente
coincide,coincidir
Lusitania,Lusitania
Emmanuel,Manuel
over,sobre
sponsor,patrocinar
fry,asarse
between,entre
hostess,azafata
drain,drenaje
NGO,ONG
diminutive,diminutivo
dispatch,despacharse
placid,plácido
unbosom,confesar
imprudent,imprudente
great-,bis-
pigtail,coleta
neither,ninguno
emboss,repujar
appropriate,adueñarse
bevy,bandada
perceptible,perceptible
accelerate,acelerar
grow,crecer
peeve,fastidiar
sterilize,esterilizar
macerate,macerar
trigger,desencadenar
sociogram,sociograma
marinate,marinar
polymerize,polimerizar
chaste,casto
kill,matar
fortunate,afortunado
friendly,amistoso
Belize,Bélice
hunt,cazar
Gheg,guego
aseptic,aséptico
threesome,trío
stifling,sofocante
dry,secarse
invent,inventar
Cajetan,Cayetano
John,Juan
steal,robar
Moldavian,moldavo
coyote,coyote
depressing,deprimente
participate,participar
twenty-eight,veintiocho
nod,cabecear
ephemeral,efímero
stereotypical,estereotípico
Nouakchott,Nuakchot
unify,unificar
weigh,pesar
ventriloquist,ventrílocuo
transgress,transgredir
errand,recado
bank,ladear
sixty,sesenta
nuclear,nuclear
toward,hacia
anaconda,anaconda
flyblown,pútrido
publicly,públicamente
description,señalamiento
astringent,astriugente
Minorca,Menorca
Azeri,azerbaiyano
make,hacer
strange,desconocido
introverted,introvertido
guide,guiar
indispensable,indispensable
main,principal
yield,rendimiento
secrete,secretar
Machiavellian,maquiavélico
sadistic,sádico
manic,maniático
negative,negativo
cooler,hielera
nurture,alimento
sample,samplear
surreptitiously,subrepticiamente
foment,fomentar
bellgirl,botónesa
anesthetic,anestésico
millimetric,milimétrico
crystalline,cristalino
anchor,anclar
Hadrian,Adriano
choose,elegir
shed,separar
launch,lancear
quotidian,cotidiano
make,hacer
stake,participación
long,largo
voluntary,voluntario
subdivision,lotificación
Ashgabat,Asjabad
correct,correcto
wrinkled,arrugado
candor,candor
snow-white,blanconieve
bulky,voluminoso
penta-,penta-
Brunei,Brunéi
multiply,multiplicar
fragile,frágil
sagaciously,sagazmente
swarm,enjambrar
matronly,matronal
exaggerate,exagerar
bless,bendecir
sweetgum,liquidámbar
abolish,destrozar
initial,inicial
abashed,avergonzado
exhaust,agotar
energetic,enérgico
scholasticism,escolástica
salvage,rescatar
improvise,improvisar
jot,anotar
strengthen,animar
neurological,neurológico
Álava,Álava
disagree,discrepar
measles,sarampión
loose,desabrochar
orient,orientarse
simultaneousness,simultaneidad
anti-imperialist,antiimperialista
ordinal,ordinal
formally,formalmente
musical,musical
molecular,molecular
prohibit,prohibir
summarize,resumir
total,total
pave,pavimentar
forever,eternidad
spontaneously,espontáneamente
associative,asociativo
focal,focal
Isidora,Isidora
several,varios
fortunately,dichosamente
antepenultimate,antepenúltimo
soldier,soldado
evade,evadir
Lithuania,Lituania
Bermudian,bermudeño
smoking,fumar
box,boxear
paradisiac,paradisíaco
dorsoventrally,dorsoventralmente
to,a
Silvia,Silvia
beloved,amado
suppliant,suplicante
will,desear
hellish,infernal
sacrifice,sacrificar
age,edad
Benin,Benín
opposite,opuesto
as,cuando
feasible,factible
Antiochene,antioqueno
forfeit,perder
reprehensible,reprehensible
Ernest,Ernesto
reclaim,reclamar
redolent,aromático
snap,increpar
Vulgate,Vulgata
model,modelar
marsupialization,marsupialización
appreciate,agradecer
discover,descubrir
anal,fastidioso
vainly,vanamente
Frederick,Federico
chewy,cauchudo
empty,vacío
reset,reiniciar
intracellular,intracelular
unprofitably,desaventajadamente
masochist,masoquista
prescribe,prescribir
when,cuando
striking,llamativo
Olaf,Olavo
Czech,checo
respond,responder
decent,decente
grate,rallar
qualitative,cualitativo
character,carácter
scribble,garabatear
wink,guiñar
inevitably,inevitablemente
homeostatic,homeostático
snuggle,acurrucarse
circumcise,circuncidar
lower,bajar
scepticist,escepticista
flagellum,flagelo
learning,aprendizaje
superficial,superficial
energetically,enérgicamente
juicy,jugoso
remain,permanecer
pin,clavar
assonant,asonante
seaside,mar
fructify,fructificar
blackout,desmayo
try,juzgar
conventional,convencional
oblivious,olvidadizo
and,y
Ezekiel,Ezequiel
under,bajo
taste,gusto
act,actuar
have,tener
aware,alerta
backtrack,repasar
accustomed,acostumbrado
generate,generar
skip,saltar
epithelial,epitelial
Bolzano,Bolzano
empirical,empírico
afflict,afligir
madder,rubia
vigorous,vigoroso
knot,anudar
divorced,divorciado
triple,triplicar
constant,constante
wrathful,furioso
cosmological,cosmológico
unlikely,improbablemente
amoral,amoral
float,flotar
snowplow,motoniveladora
decurrent,decurrente
blunt,embotar
sift,separar
monotonous,monótono
disinfect,desinfectar
initialism,sigla
sharp,agudo
parkour,parkour
forthwith,inmediatamente
respiratory,respiratorio
deranged,desquiciado
alliance,alianza
upon,tras
periodic,periódico
dilettante,diletante
conclude,concluir
glade,claro
mighty,poderoso
screen,filtrar
twenty-six,veintiséis
implore,implorar
paramount,supremo
nearby,cerca
pubescent,pubescente
preemptive,preventivo
scale,escamar
wring,retorcer
personify,personificar
Epimetheus,Epimeteo
spin,vuelta
incredible,increíble
tone,tono
Pythagoras,Pitágoras
Blanche,Blanca
transvestism,travestismo
wiki,wiki
haloalkane,haloalcano
engrave,grabar
hide,esconderse
soaring,ascendente
highfalutin,pomposa
glow,brillar
oversight,vigilancia
attribute,atribuir
yield,ceder
vaguely,vagamente
majestically,majestuosamente
blackthorn,endrino
obsolete,obsoleto
sheathe,forrar
long-lived,longevo
embark,embarcarse
marshal,empaquetar
creepy,espeluznante
Leto,Leto
morphological,morfológico
compact,compacto
strategic,estratégico
survive,sobrevivir
fallible,falible
esoterism,esoterismo
betray,traicionar
ternary,ternario
Armenian,armenio
confused,confuso
ornamental,ornamental
foldable,plegable
reply,responder
lard,manteca
comptroller,controlador
barter,trueque
UAE,EAU
journalistic,periodístico
offer,ofrecer
decorticator,descortezador
suffice,alcanzar
double,doble
trot,trote
Naphtali,Nephtalí
galvanize,galvanizar
load,cargar
intervention,intervención
vintage,cosecha
Piacenza,Plasencia
Chamaeleon,Chamaeleon
inevitable,inevitable
compose,componer
Salvador,Salvador
forevermore,cinvocarás
pandemic,pandemia
revere,reverenciar
murder,asesinar
costly,costosamente
volcanic,volcánico
invertible,invertible
Reunionese,reunionés
shalom,shalom
cashier,destituir
keyboard,teclear
musically,musicalmente
Pleiades,Pléyades
anaphora,anáfora
imagine,imaginar
crystalline,cristalino
behind,detrás
sulfurous,sulfuroso
retarded,retrasado
incumbent,titular
Inca,inca
conjugally,maridablemente
Naomi,Noemí
fat,grueso
plausible,plausible
illogical,ilógico
consequent,consecuente
feel,parecer
growl,gruñir
errant,errante
unwary,incauto
bull,bula
locate,ubicar
frolic,juguetear
rise,resucitar
congregate,congregar
only,único
sight,avistar
intimacy,intimidad
timeline,cronología
explicit,explícito
maze,desconcertar
analyse,analizar
decoration,condecoración
topological,topológico
plasticizer,plastificador
retrain,capacitar
echelon,escalonar
feature,aparecer
roll,rodar
inoxidizable,inoxidable
Dionysus,Dioniso
Alabama,Alabama
repeal,derogar
chemical,químico
nervously,nerviosamente
dolor,dolor
more,más
contumacious,insubordinado
Wilhelmina,Guillermina
filial,filial
scarcity,escasez
inflexible,inflexible
colored,coloreado
withdraw,retirar
outré,extravagante
polysyllabic,polisílabo
quadrilingual,cuatrilingüe
Latin,latino
lenticular,lenticular
Cáceres,Cáceres
invaginate,invaginarse
loathe,detestar
Rachel,Raquel
experiential,experiencial
drip,gotear
mimeograph,mimeografiar
sand,lijar
doctor,doctor
strongly,fuertemente
celibate,celibe
blot,manchar
imprecise,inconcreto
demonstrate,evidenciar
widescreen,panorámico
whole,entero
laboratory,laboratorio
boycott,boicotear
strum,rasguear
maelstrom,vorágine
possess,poseer
after,por
sublime,sublimar
febrile,febril
Antioch,Antioquía
should,deber
binder,encuadernador
seasonably,tempestivamente
proton,protón
solvent,solvente
reboot,reiniciar
Viennese,vienés
imperfectly,imperfectamente
imaginative,imaginativo
sassy,descarado
avenge,vengar
whoa,so
symmetrical,simétrico
fave,favorito
drink,beber
pervade,permear
absolutist,absolutista
Venezuelan,venezolano
his,su
bilingual,bilingüe
nitrous,nitroso
depiction,representación
Silvius,Silvio
biblical,bíblico
tutor,tutor
urceolate,urceolado
cushion,amortiguar
Edmonton,Edmonton
stagger,tambalear
drain,desagüe
valiant,valiente
poignant,picante
here,aquí
Sophia,Sofía
orbital,orbital
flighty,caprichoso
after,después
consanguinity,consanguinidad
enroll,alistar
Oporto,Oporto
refractory,refractario
Grenadian,granadino
impurely,impuramente
hydrodynamic,hidrodinámico
vortex,vórtice
deal,lanzar
acuminate,acuminado
conduct,dirigir
steamy,humeante
provisional,provisional
capture,capturar
Tirana,Tirana
reform,reformar
shining,follar
uninstall,desinstalar
athermic,atérmico
endeavour,esfuerzo
broaden,ensancharse
acoustically,acústicamente
mathematize,matematizar
corral,acorralar
harrow,escarificar
portend,presagiar
steadfast,firme
ruffle,retorcer
flout,sobreponerse
admission,admisión
handmaid,azafata
tabular,tabular
racer,corredor
Lucerne,Lucerna
Honiara,Honiara
shuttle,transportar
inter-,inter-
persuade,persuadir
Martinican,martiniqués
auctionable,rematable
compact,compactar
divine,divino
judicious,juicioso
voluble,voluble
be,ser
table,posponer
steaming,humeante
solid,masivo
Boer,Bóer
damage,daño
calculation,cálculo
derive,derivar
cloistral,monástico
artificial,artificial
induce,inducir
sequential,secuencial
environmentally,ambientalmente
stimulant,estimulante
ungrateful,desagradecido
toward,para
five,cinco
calender,calandrar
triple,triple
rehearse,repetir
ciliated,ciliado
pitch,promover
open-ended,abierto
maintain,mantener
Leviticus,Levítico
beard,barbar
superb,excepcional
agonize,agonizar
unleash,desencadenar
profit,explotar
evangelize,evangelizar
Agnes,Inés
waxy,ceroso
glandular,glandular
morally,moralmente
Luzon,Luzón
understand,comprender
detoxify,desintoxicar
accept,aceptar
howl,aullar
Kuwaiti,kuwaití
then,luego
access,acceder
Roderick,Rodrigo
historically,históricamente
labour,trabajar
hit,acertar
heretical,herético
deionize,desionizar
large,grande
search,buscar
chip,astillar
stick,pegarse
convert,converso
rancorous,rencoroso
sleev,enfundar
venomous,venenoso
Argentinian,argentino
obvious,obvio
d'oh,ouh
singable,cantable
significant,significativo
Brindisi,Brindisi
stonewall,entorpecer
botch,pifia
Argo,Argo
tubular,tubular
ditransitive,ditransitivo
nexus,centro
cyclical,cíclico
crazily,locamente
refer,referirse
foment,fomentar
bubble,burbujear
bibliographic,bibliográfico
develop,desarrollar
intro,intro
atlas,atlas
possible,posible
Hydrus,Hydrus
auxiliary,auxiliar
maneuver,maniobra
pleura,pleura
unhappiness,infelicidad
wilt,marchitar
hadal,hadal
secretly,secretamente
me,mí
dim,tenue
flutter,ondear
Gregorian,gregoriano
Sami,sami
marginal,fronterizo
Lutheran,luterano
maximum,máximo
thin,adelgazar
lunch,almorzar
look,mirar
intravenous,suero
pensive,pensativo
authorize,facultar
Elisha,Eliseo
avert,evitar
ward,pupilo
prime,primo
sleep,dormir
inaccessible,inaccesible
monstrous,monstruoso
blooming,floreciente
teaspoonful,cucharadita
instruction,instrucción
Brescia,Brescia
concomitant,concomitante
orderly,pacífico
smoke,humear
worsen,empeorarse
dope,dopar
unlawful,ilegal
stress,enfatizar
yesterday,ayer
fat,gordo
Bambara,bambara
Rebecca,Rebeca
ovoid,oval
innocent,inocente
Helen,Elena
excavate,excavar
transcendental,trascendental
simian,símico
flower,florecer
derive,derivar
Richardson,Ricárdez
Lucy,Lucía
Hellenic,helénico
absolve,absolver
preterite,pretérito
thermionic,termoiónico
referendum,referéndum
aclinic,aclínico
return,volver
purple,morado
defamatory,difamatorio
repent,arrepentir
upbreed,criar
inguinal,inguinal
Aurora,Aurora
Tetum,tetun
articulate,articularse
deposit,depositar
Marina,Marina
have,haber
dissemble,disimular
have,tener
tenant,inquilino
investigate,examinar
Chickasaw,chickasaw
predominant,predominante
buy,comprar
aposiopesis,reticencia
synthetic,sintético
Obama,Obama
transitively,transitivamente
clumsy,torpe
what,qué
shear,cizallar
granulate,granular
impaired,borracho
Brest,Brest
acanthaceous,acantáceo
graceful,grácil
Dominic,Domingo
consonant,consonante
koan,aporía
Simon,Simón
environmental,ambiental
quintuple,quíntuple
Leander,Leandro
peremptory,perentorio
sedentary,sedentario
sincere,sincero
vain,vanidoso
unreal,irreal
appendicitis,apendicitis
anecdotal,anecdótico
Guam,Guam
secrete,secretear
all,todo
Anthony,Antonio
Charon,Carón
player,jugador
baptismal,bautismal
excitable,excitable
Parisian,parisino
Joseph,José
womanish,afeminado
chloroform,cloroformizar
inconsiderate,inconsiderado
pornographic,pornográfico
conformable,conforme
tangle,enmarañar
restore,restaurar
Tanzanian,tanzano
which,cual
jingoist,jingoísta
dump,echar
Euphemia,Eufemia
vast,vasto
Malagasy,malgache
support,soporte
glow,irradiar
deball,despelotar
dynamite,dinamitar
co-wife,coesposa
do,do
serious,serio
illicit,ilícito
Daniel,Daniel
constructivism,constructivismo
Antarctica,Antártida
Mr,Sr
thermal,termal
Latino-Faliscan,latino-falisco
whet,afilar
possibly,posiblemente
Cypriot,chipriota
homonymous,homónimo
gimmick,truco
when,cuando
teramorphous,teramorfo
Tristan,Tristán
Centaurus,Centaurus
pierce,perforar
estivate,estivar
Balochi,belucho
deduce,deducir
ridealong,acompañada
brutally,brutalmente
introduce,presentar
decrepit,decrépito
reluctance,repugnancia
co-father-in-law,consuegro
raw,crudo
back,atrás
multiply,multiplicar
stoke,atizar
Ursula,Úrsula
general,general
know,conocer
precocious,precoz
import,importar
lend,prestar
take,tomar
bosky,boscoso
breezy,fresco
precious,precioso
same,mismo
diagonal,diagonal
xerophthalmia,xeroftalmia
Murcia,Murcia
fight,combatir
illegal,ilegal
slip,resbalón
thorough,exhaustivo
massive,masivo
vilify,acusar
you,so
opportunely,tempestivamente
crib,cuna
acetic,acético
settle,resolver
sulfur,azufrar
kaleidoscope,caleidoscopio
depression,depresión
bluish,azulado
ambush,emboscar
Raymond,Ramón
dirty,ensuciarse
harbour,cobijar
boast,ostentar
dark,oscuro
deserving,merecedor
burble,borbollar
irritable,irritable
Aries,Aries
Prague,Praga
immerse,sumergirse
destroy,destruir
catalytic,catalítico
slate,pizarra
Lhasa,Lhasa
stopwatch,cronómetro
identically,idénticamente
responsible,responsable
normal,normal
totalitarianism,totalitarismo
splenetic,esplénico
stress,acentuar
shy,vergonzoso
aubade,alborada
expressionist,expresionista
tense,tenso
disappointing,decepcionante
rewatch,remirar
trade-off,dilema
curdle,cuajar
anthropoid,antropoide
infarct,infarto
obtuse,obtuso
exotoxic,exotóxico
fastidious,exigente
aural,auditivo
stainless,inoxidable
jumper,chaleco
aubade,alborada
sanctify,santificar
new,nuevo
imply,insinuar
immigrate,inmigrar
prominent,prominente
Amritsar,Amritsar
honestly,honestamente
trickle,chorrear
run,correr
near,cerca
indicate,indicar
caltrop,abrojo
prejudicial,prejudicial
subjective,subjetivo
paradigm,paradigma
Afar,afar
typical,típico
trepan,trepanar
throb,palpitar
squeal,chillar
horizontally,horizontalmente
molt,pelechar
clear,eximir
bolt,atornillar
solo,solo
Korean,coreano
per,por
aristocratic,aristocrático
configure,configurar
open,abierto
Charity,Caridad
Burundi,Burundi
reel,enrollar
urinate,orinar
squeaky,chirriante
circle,rodear
rich,rico
accent,acentuar
sensitive,sensible
trapped,atrapado
vaginally,vaginalmente
modify,modificar
sister-wife,coesposa
igneous,ígneo
obstetric,obstétrico
Sarah,Sara
sacrificial,sacrificial
precipitously,precipitadamente
shoo,ahuyentar
ubiquitous,ubicuo
linguistic,lingüístico
think,creer
upon,sobre
acidification,acidificación
vegetal,vegetal
Bridget,Brigida
concrete,hormigonar
make,formar
oxidizable,oxidable
forge,falsificar
symbolically,simbólicamente
vicinal,vecinal
kasseri,kasseri
current,actual
brunost,geitost
mark,marcar
hearth,hogar
bitch,quejarse
unbelievably,increíblemente
digital,digital
phonic,fónico
uphold,sustentar
schizophrenic,esquizofrénico
place,entonar
need,necesitar
stake,estacar
bore,aburrir
whisk,batir
halcyon,alcedón
Dolores,Dolores
Jacob,Jacob
affecting,conmovedor
adipose,adipose
indeterminate,indeterminado
cone,cono
Congolese,congoleño
basis,base
distortion,distorsión
gander,ganso
silently,silenciosamente
Derek,Teodorico
hook,enganchar
reply,responder
temporarily,temporalmente
acquire,obtener
indubitable,indudable
microscopic,microscópico
late,tarde
spin,barrena
Zipporah,Séfora
symptomatic,sintomático
chipolata,chipolata
load,cargar
trio,trío
Dione,Dione
frontal,frontal
frighteningly,espantosamente
Haryana,Haryana
selfish,egoísta
relieve,aliviar
indigestion,indigestión
germinate,germinar
innate,innato
pagan,pagano
Germanism,germanismo
viable,viable
intercalary,intercalado
intransitively,intransitivamente
tripe,menudo
suppress,suprimir
annular,anular
catachresis,catacresis
dangerousness,peligrosidad
curtail,limitar
clap,aplaudir
join,acompañar
mysteriously,misteriosamente
join,unirse
documentation,documentación
relax,relajar
wickedly,malvadamente
Smyrna,Esmirna
magnetic,magnético
consecutively,consecutivamente
than,que
unexpectedly,inesperadamente
Ugandan,ugandés
soiled,sucio
philanthropic,filantrópico
Andalusia,Andalucía
concrete,concreto
tectonic,tectónico
catalyze,catalizar
adopt,adoptar
GDP,PIB
take,tomar
available,disponible
scatter,esparcir
destitution,indigencia
Belgian,belga
smirch,ensuciar
microbiological,microbiológico
absorbent,absorbente
can,cerrar
French,francés
adulterous,adúltero
connote,connotar
irrevocable,irrevocable
Robert,Roberto
fatal,fatal
mill,pulir
static,estática
cyclo-,ciclo-
humiliating,humillante
portray,retratar
diuretic,diurético
Louise,Luisa
roll,allanar
expandable,ampliable
satirical,satírico
contradict,contradecir
swift,rápido
reckless,temerario
Shanghai,Shangai
serum,suero
instanton,instantón
common,común
table,tabular
bilious,bilioso
farewell,adiós
intermediary,intermediario
applaud,aplaudir
enjoy,disfrutar
make,hacer
absorb,absorber
mediate,mediar
vasodilator,vasodilatador
Chinese,chino
equally,igualmente
surrealism,surrealismo
endorse,endosar
challenging,desafiante
call,canto
trimester,trimestre
smother,apagar
dangerous,peligroso
flyer,piloto
Azeri,azerbaiyano
Taiwanese,taiwanés
inclement,inclemente
organoleptic,organoléptico
hold,reservar
spin,girar
climb,trepar
pass,pasar
refine,perfeccionar
succeed,suceder
Antillean,antillano
Ghana,Ghana
know,saber
ostentatious,ostentoso
whisk,deslizarse
Kihnu,Kihnu
makeable,factible
glaze,velar
plunder,saquear
abdominal,abdominal
harelike,lebruno
xanthous,ocre
such,tal
flex,tensar
Tokelauan,tokelaués
dirty,obscenamente
overfeed,sobrealimentar
revile,reprochar
soft,blando
dyslexic,disléxico
have,tener
Andromeda,Andrómeda
autocratic,autocrático
deny,negar
vampiric,vampírico
Naples,Nápoles
Epicurus,Epicuro
Barbadian,barbadense
frivolous,frívolo
abandon,renunciar
especially,especialmente
agree,concordar
Syrian,sirio
formerly,anteriormente
zodiac,zodíaco
coffee,café
Ainu,ainu
pertinacious,pertinaz
verbose,verboso
just,sólo
prove,probar
abyssal,abisal
Plutarch,Plutarco
Burmese,birmano
trolley,trolebus
stern,severo
monolingual,monolingüe
monosyllabic,monosílabo
voodoo,vudú
dissemble,disimular
like,como
disperse,dispersar
Geneva,Ginebra
pernicious,pernicioso
Osroene,Osroene
crass,craso
Vé,Ve
married,casado
fall,caer
burkinabe,burkinés
identify,identificar
spread,extender
gluttony,gula
bounce,rebotar
quite,completamente
dope,dopar
terato-,terato-
opine,opinar
renewable,renovable
Io,Ío
locate,ubicar
Indo-,indo-
witty,mordaz
theistic,teísta
drinkable,potable
until,hasta
hazardous,arriesgado
penthouse,ático
Sarah,Sara
bucolic,bucólico
defenestrate,defenestrar
ludic,lúdico
bombard,bombardear
beneficial,beneficioso
crystal,cristal
currant,grosella
take,soportar
recurring,recurrente
concave,cóncavo
grateful,agradecido
Eritrea,Eritrea
pressing,acuciante
Martial,Marcial
acarpous,acarpo
wrest,arrancar
supplementary,suplementario
caption,intitular
overestimate,sobrestimar
teach,enseñar
sexist,sexista
