low_res,high_res
"එතෙකුදු වුවත්, සියලු ප්‍රංශ කතා කරන බෙලිජියානුවන් සහ ස්විස් ජාතිකයන්ට පාසලින් සම්මත ප්‍රංශ භාෂාව ඉගෙන තිබීමට ඉඩ ඇති හෙයින්, ඔබ සම්මත ප්‍රංශ අංකන ක්‍රමය භාවිතා කළද ඔවුන්ට ඔබව තේරුම් ගැනීමට හැකිවනවා ඇත.
","Nevertheless, all French-speaking Belgians and Swiss would have learned standard French in school, so they would be able to understand you even if you used the standard French numbering system.
"
"අන්තර්ක්‍රියාකාරී සැලසුමකට අවශ්‍ය වන්නේ ව්‍යාපෘතියක සංරචක එකිනෙක හා සම්බන්ධ වීම පමණක් නොව, වෙනම අංගයක් ලෙස ද අර්ථවත් වීමයි.
","Interactive design requires that components of a project connect to each other, but also make sense as a separate entity.
"
"1994 දී, අසර්බයිජානයේ, ජනවාර්ගිකව ආර්මේනියානු වන නගෝර්නෝ- කරබක් කලාපය, ඇසෙරිවරුන්ට විරුද්ධව යුධ ප්‍රකාශ කළේය.
","In 1994, the ethnically Armenian Nagorno-Karabakh region of Azerbaijan waged war against the Azeris.
"
"ඔහු 1998 පොතක තමාව ම ලේඛනගත කළේ ය.
","He documented himself in a 1998 book.
"
"ඔහුට මීට පෙරද ප්‍රකාශන හිමිකම් උල්ලංඝනය කිරීම් සම්බන්ධයෙන් චෝදනා එල්ල වී තිබුණ ද ඔහුට නඩු පැවරීමක් සිදු නොවිණි.
","He has also been accused previously of copyright infringement, but was not charged.
"
"කෙසේ නමුදු, ශීත කාලයේ දී හිම මත ලිස්සා යාම සහ හිම පුවරු මත ලිස්සා යාම වැනි ක්‍රියාකාරකම් ලබාදිය හැකි සාරවත් හිමපතනයක් බොහෝ කඳුකර ස්ථානයන්ට ලැබී, ඒවාට වෙනස්ම ආකාරයේ සුන්දරත්වයක් හා චමත්කාරයක් ලබාදේ.
","However, they have a different kind of beauty and charm during winter, with many hill stations receiving healthy amounts of snow and offering activities such as skiing and snowboarding.
"
"එය අවසන් වුවහොත්, තරමක් පහසුවෙන් නැවත පිරවිය හැකි අතර දැනට ඇති DSLR සමඟ දළ වශයෙන් සැසඳිය හැකි විභේදනයක් ලබා දේ.
","It can usually be replenished fairly easily if you run out, and gives resolution roughly comparable to a current DSLR.
"
"ඔහු තවදුරටත් කියා සිටියේ, ""මෙම සිදුවීම බරපතලයි. අපගේ ක්‍රියා පිළිවෙළ ක්‍රියාත්මක වන බවටත්, විය යුතු බවටත් සහතිකයි"" බව ය.
","He went on to say, ""This case is serious. Rest assured that our system is working as well as it should.""
"
"ඔබ උප නිවර්තනික වැසි වනාන්තරය රිය පදවමින් සිටින්නේ වුවද, මදුරුවන්ට ඔබ සමඟ වාහනය තුලට පැමිණීමට ඔබ වාහනයේ දොර හැර ඊට ඇතුළු වන තත්පර කිහිපය පවා ප්‍රමාණවත් වේ.
","Even if you're driving through the subtropical rainforest, a few seconds with the doors open while you get inside the vehicle is enough time for mosquitoes to get in the vehicle with you.
"
"සංචාරක අවදියේ දී, හමුදා කුහුඹුවෝ රාත්‍රී කාලයේ  ගමන් කරන අතර, දිවා කල කඳවුරු ලෑමට නතර වෙති.
","In the nomadic phase, army ants march at night and stop to camp during the day.
"
"වෛරසයක්, බැක්ටීරියාවක්, දිලීරයක් හෝ වෙනත් පරපෝෂිතයන් වැනි රෝග කාරකයකින් හටගන්නා රෝගයක් බෝවන රෝගයක් යනුවෙන් හැඳින්වේ.
","An infectious disease is one that is caused by a pathogen, such as a virus, bacterium, fungus or other parasites.
"
"පහසු අඩිපාරක් ඔස්සේ දිනක පයින් ගමන සඳහා අවශ්‍ය වන්නේ කුඩා සූදානමක් වන අතර, මධ්‍යස්ථ වශයෙන් සෞඛ්‍ය සම්පන්න ඕනෑම කෙනෙකුට එය රස විඳිය හැකිය.
","For a day hike along an easy trail little preparations are needed, and any moderately fit person can enjoy them.
"
"විවේක ගැනීමට සහ විනෝද වීමට මිනිසුන් තම සාමාන්‍ය දෛනික ජීවිතයෙන් වෙනස් වූ වෙනත් ස්ථානයකට යන්නේ මෙවිටයි.
","This is when people go to a place that is very different from their regular day-to-day life to relax and have fun.
"
"බොබෙක් හැර වෙනත් කිසිවෙකු මෙතෙක් ක්‍රීඩා සමාජය වෙනුවෙන් පෙනී සිට හෝ ඔහුට වඩා ගෝල රැස් කර හෝ නැත.
","No one else has ever made more appearances or scored more goals for the club than Bobek.
"
"මෙම මනෝභාවයේ කේන්ද්‍රය වන්නේ වේගය, තර්කය සහ නිරවද්‍යතාව මෙන්ම කරුණු හඳුනාගැනීම, පවතින ක්‍රම ශිල්ප නැවත යොදා ගැනීම සහ තොරතුරු එක් රැස් කිරීමයි.
","The focus of this mindset is speed, logic and accuracy, also identification of facts, reapplying existing techniques, gathering information.
"
"එමඟින් ශිෂ්‍යයන්ට තමාගේ ම වේගයෙන් වැඩ කිරීමේ සහ උපදේශාත්මක තොරතුරුවල වේගය පාලනය කිරීමේ හැකියාව ඇතිකරයි.
","It allows students the ability to work at their own pace and control the pace of instructional information.
"
"කෙසේ වෙතත්, 1956 ජුනි මාසයේ දී, ආහාර හිඟයට හා වැටුප් කප්පාදුවට එරෙහිව කම්කරුවන් විරෝධතා දැක්වූ පෝලන්තයේ කෝලාහල කොමියුනිස්ට්වාදයට එරෙහි පොදු විරෝධතාවයක් බවට පත් වූ විට, කෘෂ්චෙව්ගේ පොරොන්දු පරීක්ෂාවට ලක් විය.
","However, in June 1956, Krushchev's promises were put to the test when riots in Poland, where workers were protesting against food shortages and wage cuts, turned into a general protest against Communism.
"
"එමෙන්ම, වඩාත් උණුසුම් දේශගුණයන් තුළ බැක්ටීරියා වඩාත් ඉක්මනින් වර්ධනය වන අතර ශරීරයෙන් පිටත වැඩි කාලයක් නොනැසී පවතී.
","Also, in warmer climates bacteria both grow more quickly and survive longer outside the body.
"
"ඔබ කුඩා වරායට ලංවූ වහාම සියල්ල පැහැදිලිව පෙනෙන බව සහතික කරගන්න. ඔබට වෙනත් බෝට්ටුවලින් අහඹු ප්‍රවාහනය සපයන්නන් මුණගැසෙන අතර ඔවුන් ඔවුන්ගේ තොරතුරු ඔබ සමඟ බෙදා ගනු ඇත.
","Be assured that once you hit the marinas everything will be pretty obvious. You will meet other boat hitchhikers and they will share their information with you.
"
"ජාඩින් ඩෙ ලා යුනියන්. මෙය ඉදිකරනු ලැබුවේ, මේ වන විට ටෙම්ප්ලො ද සැන් දියාගෝ ගොඩනැගිල්ල පමණක් ඉතිරිව ඇි, 17 වන සියවසේ කන්‍යාරාමයක් සඳහා ආලින්දයක් ලෙසයි.
","Jardín de la Unión. This space was built as the atrium for a 17th-century convent, of which the Templo de San Diego is the sole surviving building.
"
"විශාල කණ්ඩායම් සඳහා චාරිකා මි‍‍ළෙන් අඩු ය, එබැවින් ඔබ සූදානම් වන්නේ තනිවම හෝ 1ක් මිතුරෙකු සමඟ නම්, එක් අයෙකු සඳහා වඩා හොඳ මිළක් ලබා ගැනීමට තවත් පුද්ගලයින් හමුවී 4 හෝ 6 කණ්ඩායමක් සාදාගැනීමට උත්සාහ කරන්න.
","Tours are cheaper for larger groups, so if you're by yourself or with just one friend, try to meet other people and form a group of four to six for a better per-person rate.
"
"ජාර්ක් එදින උදෑසන ඉතාලියේ කවර්සියානෝහි පූර්ව-වාර  පුහුණුවීම් වල යෙදී සිටියේය. බොලොනියාට එරෙහිව ඉරිදා පැවැත්වීමට නියමිතව තිබූ තරඟයකට පෙර ඔහු කණ්ඩායම් හෝටලයේ නැවතී සිටියේය.
","Jarque was practicing during pre-season training at Coverciano in Italy earlier in the day. He was staying in the team hotel ahead of a match planned for Sunday against Bolonia.
"
"""මෙම නඩුවේ ඇති වූ අභියෝගයට මුහුණ දීමට වඩා හොඳින් සන්නද්ධ වූ ස්ථාන අතලොස්සක් ලෝකයේ ඇත"" යැයි පෙරී විශේෂයෙන් සඳහන් කළේ ය.
","Perry specifically said, ""There are few places in the world better equipped to meet the challenge that is posed in this case.""
"
"සංස්කෘති බිහි වූ ආකාරය පිළිබඳ බොහෝ න්‍යායන් පළවී  ඇත. ඒවායින් 1ක් නම්, බටහිරින් ඉන්දියාවට සංක්‍රමණය වෙද් දී ඔවුන්ගේ භාෂාව ද රැගෙන ආ ආර්යයන් වෙතින් බවය.
","There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.
"
"වඩා විශාල වාහන මෙන් නොව, ඔබ සිය මෝටර් රථය පැදවීමට සහ එහි සීමා දැනගැනීමට වඩාත් සමීපවීමට ඉඩ ඇත.
","Unlike larger vehicles, you are probably already familiar with driving your car and know its limitations.
"
"යුරෝපා ගවේෂකයන් පැමිණ කෙටි කාලයකට පසුව, ස්පාඤ්ඤ ආක්‍රමණිකයන් විසින් ටයිනෝ ජනගහනය සැලකිය යුතු ලෙස අඩු කරන ලදී.
","Within a few short years following the arrival of European explorers, the population of Tainos had significantly been reduced by the Spanish conquerors
"
"සාක්ෂිකරුවන්ට අනුව, සෙනසුරාදා පෙ.ව. 1: 15ට, බස් රථය කොළ එළියක් හරහා ගමන් කරමින් සිටිය දී, මෝටර් රථය එයට ඉදිරියෙන් හරවා ඇත.
","At 1:15 a.m. Saturday, according to witnesses, the bus was going through a green light when the car made a turn in front of it.
"
"නයිට්‍රජන් වායුවක් ලෙසත් ද්‍රව නයිට්‍රජන් හා සමාන ගුණාංගවලින් සමන්විත වේ. ද්‍රව තත්ත්වයේ දී උකු ස්වභාවයක් ගන්නා නමුත් අණු තවමත් එසේම පවතී.
","Nitrogen as a gas still has the same properties as liquid nitrogen. The liquid state is denser but the molecules are still the same.
"
"දේශීය වේලාවෙන් අද උදේ 10 ට පමණ ඉස්ලාමයේ පූජනීය නගරය වන මක්කමහි නේවාසිකාගාරයක් කඩා වැටිණි.
","A hostel collapsed in Mecca, the holy city of Islam at about 10 o'clock this morning local time.
"
"ලක්සම්බර්ග් සැම විටම නිෂ්ක්‍රිය රටක් ලෙස සිටීමට උත්සාහ කළත් I වන ලෝක යුද්ධය සහ II ලෝක යුද්ධය යන දෙකෙහිදීම ජර්මනිය විසින් අත්පත් කරගන්නා ලදී.
","Luxembourg has always tried to remain a neutral country but it was occupied in both World War I and World War II by Germany.
"
"වෑල්ව විවෘත කිරීමත් සමඟ පද්ධිතයට පීඩනයක් නිදහස් වීමට ඉඩ හැරීමෙන් බැරල 55,000ක (ගැලුම් මිලියන 2.3 ක) ධාරිතාවෙන් යුතු ටැංකියකට තැටියකින් තෙල් ගලා ගියේය.
","The valves opening allowed a pressure release for the system and oil flowed on a pad to a tank that can hold 55,000 barrels (2.3 million gallons).
"
"වැදගත් විද්‍යාත්මක උපකරණ තුනක් ගෙන යාමට අතිරේකව චන්ද්‍ර ඒෂණය සෑම පැත්තකම පාට කර තිබූ ඉන්දීය ජාතික කොඩියේ රූපයක් ද රැගෙන ගියේය.
","Besides carrying three important scientific instruments, the lunar probe also carried the image of the Indian national flag, painted on all sides.
"
"PBS වැඩසටහනට එමී සම්මාන දුසිම් 2කට වඩා ඇති අතර, එහි විකාශන කාලය දෙවැනි වන්නේ සිසේම් වීදිය, සහ මිස්ටර් රොජර්ස් ගේ අසල්වැසියන් හට පමණි.
","The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.
"
"එක්සත් ජනපදය තුළ එය පුළුල් ලෙස භාවිතා වීම නිසා, මෙතෙක් දුරට ක්ෂණික පණිවිඩ වෙළඳපල ඊටම අයත් වේගයකින් ඉදිරියට ගෙන යාමට සහ සංවර්ධනය කිරීමට ඒ.ඕ.එල් හට හැකි වී තිබේ.
","Until now, AOL has been able to move and develop the IM market at its own pace, due to its widespread use within the United States.
"
"ඉන්දියාව සහ චීනය වැනි රටවල් විමෝචන ඉලක්කවලට බැඳී නොසිටින අතරතුර, ගල් අඟුරු අපනයනය කෙරෙහි දැඩි ලෙස විශ්වාසය තැබීම මගින් ආර්ථිකයට හානි සිදුවිය හැකි යැයි පවසමින් ඕස්ට්‍රේලියාවේ කලින් පැවති කොන්සර්වේටිව් රජය කියෝතෝ ස්ථිර කිරීම ප්‍රතික්ෂේප කළේ ය.
","Australia's former conservative government refused to ratify Kyoto, saying it would damage the economy with its heavy reliance on coal exports, while countries like India and China were not bound by emissions targets.
"
"එහි ආරම්භයේ පටන්ම,  මුද්‍රණ අනුවාදයක්, ඔක්තෝබර් මස තුළ පුද්ගලයන් 5,000,000 ක් නැරඹූ වෙබ් අඩවියක්, පුද්ගලික දැන්වීම්, පැය 24 පුවත් ජාලයක්, පොඩ්කාස්ට් සහ මෑතකදී අවර් ඩම්බ් වර්ල්ඩ් ලෙස නම් කළ ලෝක සිතියමක් සහිතව, දි අනියන්, සත්‍ය ලෙසම පුවත් හාසනුකරණ අධිරාජ්‍යයක් බවට පත්ව ඇත.
","Since its inception, The Onion has become a veritable news parody empire, with a print edition, a website that drew 5,000,000 unique visitors in the month of October, personal ads, a 24 hour news network, podcasts, and a recently launched world atlas called Our Dumb World.
"
"කෙටියෙන් කිවහොත්, ඔබේ මෝටර් රථය භාවිතා කිරීම මාර්ග චාරිකාවක් සඳහා හොඳ ක්‍රමයක් වන නමුත් කලාතුරකින් එය ""කඳවුරු බැඳීමට"" මාර්ගයකි.
","In short, using your car is a great way to take a road trip but seldom in itself a way to ""camp"".
"
"ඔබ රාජ්‍ය තාන්ත්‍රිකයෙකු නොවන්නේ නම්, විදේශයක සේවය කිරීම යන්නෙන්, ඔබ සිටින රටේ ආදායම් බදු ගොනුවක් පවත්වාගැනීමට අවශ්‍ය වන බව සාමාන්‍යයෙන් අදහස් වෙයි.
","Unless you are a diplomat, working overseas generally means that you will have to file income tax in the country you are based in.
"
"සැරසිළි කළ අලි ඇතුන් සහිත දීර්ඝ පෙරහැරක්, දේවස්ථාන වාද්‍ය වෘන්දය සහ වෙනත් උත්සවාංග සහිත කේරළයෙහි දේවස්ථාන උත්සව නැරඹීමට ඉතා සිත්ගන්නා දෙයකි.
","Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.
"
"පසුගිය මාස 3 තුළ, විධිමත් ලෙස චෝදනා කරනු නොලැබ, අත්අඩංගුවට පත් වූවන් 80 කට වැඩි ගණනක් සෙන්ට්‍රල් බුකිං වෙතින් නිදහස් කරන ලදී.
","In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.
"
"නිදසුනක් වශයෙන්, පාසැලේදී හොඳ ප්‍රතිඵල නොලැබෙන බවට ඒකාකෘතික ලෙස සලකනු ලබනවාර්ගික සුළුතරයක් සමඟ හඳුනා ගන්නා ළමයින් ඔවුන්ගේ ජාතිය හා සම්බන්ධ ඒකාකෘතිකකරණය පිළිබඳව ගැන දැනගත් පසු පාසැලේදී හොඳ ප්‍රතිඵල නොලැබීමට ඉඩ තිබේ.
","For instance, children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school once they learn about the stereotype associated with their race.
"
"මෙම නියෝජිතයන් පකිස්ථාන ව්‍යවස්ථාවේ 247 වන වගන්තිය යටතේ රාජ්‍ය සහ අධිකරණ සේවා සැපයීමට වග කියනු ලබයි.
","These agents are responsible for providing government and judicial services under Article 247 of the Pakistani Constitution.
"
"පළමු පිරිනැමීමේ දී ලකුණු 76ක් ලබා ගනිමින් නඩාල් තරඟයේ 88%ක ශුද්ධ ලකුණු ලබා ගත්තේ ය.
","Nadal bagged 88% net points in the match winning 76 points in the first serve.
"
"ළමයින් ඉතා කුඩා කාලයේ සිට ජාතික හා වාර්ගික ඒකාකෘති පිළිබඳ දැනුවත් භාවයක් වර්ධනය කරගන්නා අතර මෙම වාර්ගික ඒකාකෘති හැසිරීමට බලපායි.
","Children develop an awareness of race and racial stereotypes quite young and these racial stereotypes affect behavior.
"
"ඔබට ලාභය, අවශ්‍යතාවය, ජීවන රටාව හෝ අභියෝගය සඳහා ලෝකය දැකීමට අවශ්‍ය නම්, ඒ සඳහා ක්‍රම කිහිපයක් තිබේ.
","If you want to see the world on the cheap, for necessity, lifestyle or challenge, there are some ways to do that.
"
"සමහර විද්‍යාඥයන් අනුමාන කරන්නේ ට්‍රයිසෙරාටොප්ස් අනුභව කළේ ක්‍රිටේෂියස් යුගයේ බහුල ශාකයක් වූ සයිකැඩ්ස් බවයි.
","Some scientists think Triceratops ate cycads, which are a type of plant that was common in the Cretaceous.
"
"මේ ආකාරයේ චින්තනයක් සහිත මිනිසුන්ට තාර්කික චින්තනයක් පවතින අතර රටා මතක තබා ගැනීමට, ගැටලු විසඳීමට සහ විද්‍යාත්මක පරීක්ෂණ  කිරීමට හැකි ය.
","People with this type of thinking have logical thinking, are able to memorize patterns, solve problems and work on scientific tests.
"
"බදාදා පස්වරුව වන විටත්, ටැංකියේ වා තව්වලින් කාන්දු වීම් පැවතියේ, ටැංකිය අභ්‍යන්තරයේ තාපය ප්‍රසාරණය වීම නිසා විය යුතුය.
","As of Wednesday afternoon, the tank vents were still leaking probably from thermal expansion inside the tank.
"
"මිනිසුන් පුටු වලින් වීදුරු වලට පහර දුන් නමුත් ජනේල කඩා දැමිය නොහැකි විය.
","People were hitting the panes with chairs, but the windows were unbreakable.
"
"මෙම විධිවිධානය ක්‍රියාවට නැංවීමත් සමගම මෙම නිදහස අවසන් වීමට ඉඩ ඇත.
","With this arrangement in place, this freedom might end.
"
"රාත්‍රී නිදන දුම්රිය තුළ ඔබගේ නින්දට බාධා නොවන ලෙස කොන්දොස්තරවරයා විසින් ගමන් බලපත්‍ර එකතු කරනු ලැබේ.
","On night sleeper trains, passports may be collected by the conductor so that you do not have your sleep interrupted.
"
"අදහන්නා දිව්‍යමය යථාර්ථය/දේවතාව හෝ දේවතාවරුන් සමඟ ඍජු අත්දැකීමක්, අන්තර්ඥානයක් හෝ දැක්මක් සොයයි.
","The believer seeks a direct experience, intuition, or insight into divine reality/the deity or dieties.
"
"ඔබ ඔබගේ දෛනික චර්යාවට ආපසු පැමිණි විට ඔබට උදෑසන ආහාරයට සෑදීමට හැකි සරල පානයක් ඔබ විසින් සොයා ගැනීමට ඉඩ ඇත.
","maybe you'll discover a simple beverage that you can make for breakfast when you're back to your daily routine.
"
"ඕස්ට්‍රේලියාවේ දක්නට හැකි බූමරංගවලින් වැඩි හරියක් ආපසු පැමිණෙන්නේ නැත.  ආධුනිකයන් සුළඟ  දෙසට යැවීමට අදහස් නොකිරීම වඩාත් සුදුසු ය.
","Most boomerangs available in Australia are in fact non-returning. It is best for beginners to not try throwing in windy
"
"අනතුරුව, වසර කිහිපයකට පසු 1639 දී, ජෙරමියා හොරොක්ස් නම් බ්‍රිතාන්‍ය ජාතික අභ්‍යවකාශගාමියා විසින් වීනස්ගේ සංක්‍රාන්තියක් නිරීක්ෂණය කරන ලදී.
","Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.
"
"ට්වින් ඔටර් ගුවන් යානය පීඑන්ජී ෆලයිට් සීජී 4684 ගුවන් සේවය ලෙස ඊයේ කොකෝඩාවට ගොඩබෑමට උත්සාහ කර ඇති නමුත් ඒ වන විටත් එක් වතාවක්  නවත්වා තිබුණි.
","The Twin Otter had been trying to land at Kokoda yesterday as Airlines PNG Flight CG4684, but had aborted once already.
"
"බ්‍රිතාන්‍ය පුවත්පතක් වන ද ගාර්ඩියන් පවසා සිටියේ මෙම අරමුණ සාක්ෂාත් කරගැනීම සඳහා භාවිතා වූ ෂෙල් සමාගම් 1200 න් තුනෙන් දෙකක් පමණ පාලනය කළේ ඩොයිෂ් බැංකුව බවයි.
","British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.
"
"වටිනා ලෝහවලින් සහ දුර්ලභ ගල් වර්ගවලින් තැනූ කෞතුක භාණ්ඩ දහස් ගණනක්ද ඇතුළුව, ටූටන්කාමන් සමග වැළලූ භාණ්ඩවලින් බොහොමයක් ඉතා හොඳින් සංරක්ෂණය වී ඇත.
","Most of the items buried with Tutankhamun have been well preserved, including thousands of artefacts made from precious metals and rare stones.
"
"එතැන් පටන් චීනයේ ආර්ථිකය 90 ගුණයක් වර්ධනය වී ඇත.
","Since then, China's economic size has grown by 90 times.
"
"ජෙනරාල් ජේම්ස් ඊවින්ග්, ට්‍රෙන්ටන් ෆෙරිහි ගඟ හරහා උපහමුදා සොල්දාදුවන් 700 ක් රැගෙන ගොස්, අසන්පින්ක් ආරෙහි පාලම අත්පත් කරගෙන සතුරු හමුදා කිසිවක් පලා යාම වළක්වනු ඇත.
","General James Ewing would take 700 militia across the river at Trenton Ferry, seize the bridge over the Assunpink Creek and prevent any enemy troops from escaping.
"
"මූලික වශයෙන් එය වර්ග දෙකකට බෙදේ: ඔබ සංචාරය කරන අතර වැඩ කිරීම් හෝ ඔබගේ වියදම් සීමා කිරීමට උත්සාහ කිරීමයි. මෙම ලිපිය යොමු වන්නේ, මින් පසුවට කී ආකාරය වෙතයි.
","Basically, they fall into two categories: Either work while you travel or try and limit your expenses. This article is focused on the latter.
"
"ඔබේ නිරන්තර පියාසර ගුවන් සේවය සුසන්ධානයකින් ප්‍රවේශමෙන් තෝරා ගත යුතු ය.
","You should choose your Frequent Flyer airline in an alliance carefully.
"
"""වාසනාවකට මට කිසිවක් සිදු නොවූ නමුත්, මිනිසුන් පිටතට පැමිණීමට ජනෙල් කැඩීමට උත්සාහ කරන, අතිශයින් දරුණු සිදුවීමක් දුටිමි.
","""Luckily nothing happened to me, but I saw a macabre scene, as people tried to break windows in order to get out.
"
"ඒවා අධික සුළං (පැයකට සැතපුම් 100-200) ඇති කරන අතර බර වස්තු වායුවට මුදා හැර කුනාටු මෙන් රැගෙන යාමටද හැකිය.
","They generate high winds (often 100-200 miles/hour) and can lift heavy objects into the air, carrying them as the tornado moves.
"
"ඒවා ආරම්භ වන්නේ කුණාටු වලාකුළු වෙතින් එන පුනීල ආකාරයෙන් වන අතර ඒවා පොළොව ස්පර්ශ වූ විටම් ""කුනාටු"" බවට පත් වේ.
","They begin as funnels descending from storm clouds, and become ""tornadoes"" when they touch the ground.
"
"අවම වශයෙන් ඔබ සුදුසු අඩියක් සහිත පාවහන් පැළඳිය යුතුය. වසන්ත සපත්තු සාමන්‍යයෙන් අයිස් සහ හිම මත ලිස්සා යන අතර සමහර සිසිර බූට් සපත්තු පවා අඩුපාඩු සහිත වේ.
","At a minimum, you need footwear with suitable soles. Summer shoes are usually very slippery on ice and snow, even some winter boots are deficient.
"
"එසේ වුවත්, ලොව පුරා කෝපි පානය කරන විවිධ ආකාර බොහොමයක් ඇති අතර ඒවා අත්දැකීමට වටියි.
","Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.
"
"මෙම සම්පූර්ණයෙන් පිහාටුවලින් වැසුණු, උණුසුම් රුධිර මාංශ භක්ෂක පක්ෂියා වෙලොසිරැප්ටර්හි නිය සහිත පාද දෙකෙන් සෘජුව ඇවිදින්නට ඇතැයි විශ්වාස කෙරිණ.
","This fully feathered, warm blooded bird of prey was believed to have walked upright on two legs with claws like the Velociraptor.
"
